IT#WIKIDATA#Q1462905	comune$NOM francese$ADJ
IT#WIKI#Albany_(California)	Albany$NOM essere$VER:pres una$DET:indef città$NOM del$PRE:det USA$NOM del$PRE:det stato$NOM del$PRE:det California.$NOM
IT#WIKI#Federico_Delpino	in$PRE gioventù$NOM si$PRO:pers iscrivere$VER:remo all'Università$NOM di$PRE Genova$NPR per$PRE un$DET:indef corso$NOM di$PRE studio$NOM in$PRE Matematica,$NOM abbandonare$VER:geru però$ADV il$DET:def studio$NOM precocemente.$ABR
IT#WIKI#Consonante_affricata	nel$PRE:det fonetico$ADJ articolatoria,$NOM una$DET:indef consonante$NOM affricata$VER:pper essere$VER:pres una$DET:indef consonante,$NOM classificare$VER:pper secondo$PRE il$DET:def suo$PRO:poss modo$NOM di$PRE articolazione,$NOM produrre$VER:pper in$PRE due$ADJ fase$NOM successive:$NOM una$DET:indef fase$NOM occlusivo$ADJ e$CON una$DET:indef fase$NOM fricativa.$NOM
IT#WIKI#Bernbeuren	Bernbeuren$NOM essere$VER:pres un$DET:indef comune$NOM tedesco$ADJ di$PRE @card@$NUM abitanti,$NOM situare$VER:pper nel$PRE:det land$NOM del$PRE:det Baviera.$NOM
IT#WIKI#Alain_Berset	Alain$NPR Berset$NOM essere$VER:pres originario$ADJ di$PRE Misery-Courtion.$NOM
IT#WIKI#Principato_di_Monaco	Monaco,$NOM ufficialmente$ADV principato$NOM di$PRE Monaco,$NOM chiamare$VER:pper anche$ADV Montecarlo$NPR per$PRE una$DET:indef sineddoche$NOM diffondere$VER:pper nel$PRE:det linguaggio$NOM comune"Monte-Carlo"$NOM essere$VER:pres solo$ADV il$DET:def quartiere$NOM più$ADV importante$ADJ e$CON più$ADV centrale$ADJ di$PRE Monaco.,$NOM essere$VER:pres un$DET:indef piccolo$ADJ stato$NOM monarchico$ADJ indipendente$ADJ dell'Europa$NOM occidentale$ADJ confinante$ADJ con$PRE il$DET:def solo$ADJ Francia$NPR e$CON bagnare$VER:pper dal$PRE:det Mar$NPR Ligure.$ABR
IT#WIKI#Dom_Pedrito	Dom$NOM Pedrito$NOM essere$VER:pres un$DET:indef comune$NOM di$PRE @card@$NUM abitante$NOM del$PRE:det stato$NOM del$PRE:det rio$NOM grande$NOM do$NOM Sul$NOM in$PRE Brasile.$NOM
IT#WIKI#Sankt_Lorenz	Sankt$NOM Lorenz$NOM essere$VER:pres un$DET:indef comune$NOM di$PRE @card@$NUM abitante$NOM dell'Alta$VER:pres Austria.$NOM
IT#WIKIDATA#Q23058	essere|stare$VER:pper che$PRO:rela comporre$VER:pres il$DET:def stato$NOM federale$ADJ svizzero$ADJ
IT#WIKIDATA#Q684136	asteroide$NOM
IT#WIKIDATA#Q938858	film$NOM del$PRE:det @card@$NUM diretto$ADJ da$PRE Walter$NPR Salles$NOM
IT#WIKI#Michael_Redd	guardia$NOM di$PRE @card@$NUM centimetri,$NOM essere$VER:pres un$DET:indef tiratore$NOM molto$ADV preciso$ADJ dal$PRE:det linea$NOM del$PRE:det tiro$NOM libero:$NOM nel$PRE:det stagione$NOM @card@$NUM avere$VER:pres avere$VER:pper quasi$ADV l'88%$NOM di$PRE realizzazioni,$NOM mentre$CON nel$PRE:det partita$NOM contro$PRE il$DET:def Washington$NPR Wizards$NOM nel$PRE:det stagione$NOM @card@$NUM avere$VER:pres realizzare$VER:pper @card@$NUM tiro$NOM liberi.$ABR
IT#WIKIDATA#Q1236294	entomologo$NOM e$CON archeologo$NOM britannico$ADJ
IT#WIKI#Vitelotte	il$DET:def Vitelotte$NOM essere$VER:pres una$DET:indef varietà$NOM di$PRE patata$NOM che$PRO:rela avere$VER:pres il$DET:def particolarità$NOM di$PRE avere$VER:infi il$DET:def buccia$NOM e$CON il$DET:def polpa$NOM di$PRE colore$NOM violetto.$ABR
IT#WIKIDATA#Q169337	composto$NOM chimico$ADJ
IT#WIKI#Edward_G._Robinson	inconfondibile$ADJ figura$NOM basso$ADJ e$CON tarchiata,$ADJ con$PRE il$DET:def viso$NOM schiacciato$ADJ e$CON il$DET:def occhio$NOM dal$PRE:det taglio$NOM mongolo,$NOM raggiungere$VER:remo il$DET:def popolarità$NOM come$PRE interprete$NOM di$PRE ruolo$NOM di$PRE gangster$NOM nell'era$ADJ del$PRE:det proibizionismo,$NOM sia$CON in$PRE chiave$NOM realista$NOM come$CON in$PRE piccolo$NOM cesare$NOM e$CON L'isola$NOM di$PRE corallo,$NOM sia$CON in$PRE chiave$NOM parodistico$ADJ come$CON ne$PRE Il$NOM piccolo$ADJ gigante$ADJ e$CON in$PRE Un$NOM bandire$VER:pper in$PRE vacanza.$NOM
IT#WIKI#Circondario_della_Pomerania_Anteriore_Settentrionale	il$DET:def circondario$NOM del$PRE:det Pomerania$NPR Anteriore$NOM settentrionale$NOM essere$VER:impf un$DET:indef circondario$NOM rurale$ADJ del$PRE:det Land$NPR tedesco$ADJ del$PRE:det Meclemburgo-Pomerania$NPR Anteriore.$ABR
IT#WIKI#Schönberg_(Meclemburgo)	Schönberg$NOM essere$VER:pres una$DET:indef città$NOM di$PRE @card@$NUM abitante$NOM del$PRE:det Meclemburgo-Pomerania$NPR Anteriore,$NOM in$PRE Germania.$NOM
IT#WIKI#George_Walton	rimanere$VER:pper orfano$NOM in$PRE giovane$ADJ età,$NOM venire$VER:remo adottare$VER:pper dal$PRE:det zio$NOM che$PRO:rela lo$PRO:pers indirizzare$VER:remo al$PRE:det mestiere$NOM di$PRE falegname.$NOM
IT#WIKI#Daewoo_Nubira	il$DET:def Nubira$NOM essere$VER:pres una$DET:indef autovettura$NOM produrre$VER:pper in$PRE corea$NOM del$PRE:det sud$NOM dal$PRE:det gruppo$NOM General$NOM Motors$NPR e$CON commercializzare$VER:pper in$PRE Italia$NPR dal$PRE:det @card@$NUM al$PRE:det @card@$NUM dal$PRE:det marchio$NOM Daewoo$NOM mentre$CON dal$PRE:det gennaio$NOM @card@$NUM al$PRE:det @card@$NUM con$PRE il$DET:def marchio$NOM Chevrolet.$ABR
IT#WIKI#Tabatinga_(Amazonas)	Tabatinga$VER:impe essere$VER:pres un$DET:indef comune$NOM di$PRE @card@$NUM abitante$NOM del$PRE:det stato$NOM di$PRE Amazonas$NOM in$PRE Brasile.$NOM
IT#WIKIDATA#Q262130	regista$NOM e$CON produttore$NOM cinematografico$ADJ statunitense$ADJ
IT#WIKIDATA#Q1803346	comune$NOM brasiliano$ADJ
IT#WIKI#Clitheroe	Clitheroe$ADJ essere$VER:pres una$DET:indef cittadino$NOM di$PRE @card@$NUM abitante$NOM del$PRE:det Lancashire,$NOM in$PRE Inghilterra.$NOM
IT#WIKI#Pierre_Simon_Laplace	essere$VER:remo uno$DET:indef del$PRE:det principale$ADJ scienziato$NOM nel$PRE:det periodo$NOM napoleonico.$NOM
IT#WIKIDATA#Q42122	Scrittore,$NOM poeta$NOM e$CON traduttore$NOM svedese$ADJ
IT#WIKIDATA#Q22276	comune$NOM francese$ADJ
IT#WIKI#Klax_(videogioco)	Klax$NOM essere$VER:pres un$DET:indef videogioco$NOM rompicapo$NOM del$PRE:det @card@$NUM realizzare$VER:pper da$PRE Dave$NOM Akers$NOM e$CON Mark$NPR Stephen$NPR Pierce.$ABR
IT#WIKI#Forze_armate_britanniche	il$DET:def forza$NOM armato$ADJ del$PRE:det regno$NOM Unito$NOM essere|sonare$VER:pres comunemente$ADV noto$ADJ come$PRE British$NPR Armed$NOM Forces$NOM o$CON Her$NOM Majesty's$NOM Armed$NOM Forces$NOM oltre$CON che$PRO:rela giuridicamente$ADV come$PRE Armed$NOM Forces$NOM of$NPR the$NOM Crown.$ABR
IT#WIKIDATA#Q2291600	batterista$NOM statunitense$ADJ
IT#WIKIDATA#Q124132	inventore$NOM e$CON chimico$NOM svizzero$ADJ
IT#WIKIDATA#Q377243	comune$NOM francese$ADJ
IT#WIKI#Alàs_i_Cerc	Alàs$NOM il$DET:def Cerc$NOM essere$VER:pres un$DET:indef comune$NOM spagnolo$ADJ di$PRE @card@$NUM abitante$NOM situare$VER:pper nel$PRE:det comunità$NOM autonomo$ADJ del$PRE:det Catalogna.$NOM
IT#WIKIDATA#Q40586	gruppo$NOM musicale$ADJ francese$ADJ
IT#WIKIDATA#Q1382910	calciatore$NOM camerunese$ADJ
IT#WIKI#Kara-Bogaz-Gol	il$DET:def golfo$NOM di$PRE Kara-Bogaz-Gol$NOM o$CON Garabogazköl$NOM essere$VER:pres al$PRE:det contempo$NOM un$DET:indef lago,$NOM un$DET:indef golfo$NOM ed$CON una$DET:indef depressione$NOM superficiale$ADJ situare$VER:pper nel$PRE:det parte$NOM nord-occidentale$ADJ del$PRE:det Turkmenistan.$NOM
IT#WIKI#Thomas_Cavendish	Cavendish$NOM nascere$VER:remo nel$PRE:det @card@$NUM a$PRE Trimley$NOM St.$ABR
IT#WIKI#Mare_di_Dirac	il$DET:def mare$NOM di$PRE Dirac$NOM essere$VER:pres un$DET:indef modello$NOM teorico$ADJ del$PRE:det vuoto$NOM vedere$VER:pper come$PRE un$DET:indef mare$NOM infinito$ADJ di$PRE particella$NOM di$PRE energia$NOM negativa.$NOM
IT#WIKI#Börrstadt	Börrstadt$NOM essere$VER:pres un$DET:indef comune$NOM di$PRE @card@$NUM abitante$NOM del$PRE:det Renania-Palatinato,$NOM in$PRE Germania.$NOM
IT#WIKI#Insufficienza_epatica_fulminante	si$PRO:pers definire$VER:pres insufficienza$NOM epatico$ADJ fulminante$ADJ o$CON atrofia$NOM giallo$ADJ acuto$ADJ del$PRE:det fegato$NOM l'insufficienza$NOM epatico$ADJ che$PRO:rela condurre$VER:pres all'encefalopatia$NOM epatico$ADJ nel$PRE:det giro$NOM di$PRE @card@$NUM settimane.$NOM
IT#WIKI#L'arrivo_di_un_treno_alla_stazione_di_La_Ciotat	L'arrivo$VER:remo di$PRE un$DET:indef treno$NOM al$PRE:det stazione$NOM di$PRE La$NOM Ciotat$NOM essere$VER:pres uno$DET:indef del$PRE:det più$ADV famoso$ADJ cortometraggio$NOM del$PRE:det fratello$NOM Auguste$NOM e$CON Louis$NPR Lumière.$ABR
IT#WIKI#Sphyrnidae	il$DET:def famiglia$NOM Sphyrnidae$NOM comprendere$VER:pres @card@$PON specie$ADV di$PRE grosso$ADJ pesce$NOM d'acqua$VER:pres marina,$VER:infi conoscere$VER:pper come$PRE squalo$NOM martello$NOM ed$CON appartenere$VER:ppre all'ordine$VER:impe Carcharhiniformes.$ABR
IT#WIKI#Virtual_Network_Computing	il$DET:def Virtual$NOM network$NOM Computing$NOM essere|sonare$VER:pres software$NOM di$PRE controllo$NOM remoto$ADJ e$CON servire$VER:pres per$PRE amministrare$VER:infi il$DET:def proprio$ADJ computer$NOM a$PRE distanza:$NOM installare$VER:geru un$DET:indef server$NOM VNC$NOM sul$PRE:det proprio$ADJ macchina$NOM ed$CON impostare$VER:geru una$DET:indef opportuno$ADJ password$NOM si$PRO:refl consentire$VER:pres al$PRE:det client$NOM VNC$NOM di$PRE ricevere$VER:infi una$DET:indef immagine$NOM del$PRE:det schermo$NOM e$CON di$PRE inviare$VER:infi input$NOM di$PRE tastiera$NOM e$CON mouse$NOM al$PRE:det computer$NOM server$NOM tramite$PRE una$DET:indef connessione$NOM remota.$ADJ
IT#WIKI#Vincenzo_Campi	fratello$NOM minore$ADJ ed$CON allievo$NOM di$PRE Giulio$NPR campo$NOM e$CON Antonio$NPR Campi,$NOM Vincenzo$NPR avere$VER:remo una$DET:indef carriera$NOM pittorico$ADJ ambivalente,$NOM per$PRE il$DET:def scelta$NOM di$PRE dipingere$VER:infi pala$NOM d'altare$VER:infi di$PRE impegnato$ADJ sensibilità$NOM controriformata$ADJ unire$VER:pper ad$PRE un$DET:indef imprevedibile$ADJ lato$NOM buffonesco$ADJ del$PRE:det suo$PRO:poss celebre$ADJ scena$NOM di$PRE genere,$NOM abitare$VER:pper da$PRE popolano$NOM dal$PRE:det volto$NOM grottesco$ADJ e$CON caricaturale$ADJ e$CON da$PRE donna$NOM procace$ADJ e$CON ammiccanti,$NOM ispirare$VER:pper al$PRE:det coevo$ADJ pittura$NOM fiammingo$ADJ e$CON carico$ADJ di$PRE recondito$ADJ significato$NOM erotici.$ABR
