FR#WIKIDATA#Q544	système$NOM planétaire$ADJ du$PRP:det Soleil$NAM
FR#WIKI#Kevin_Peter_Hall	Kevin$NAM Peter$NAM Hall$NAM être$VER:pres un$DET:ART acteur$NOM américain$ADJ naître$VER:pper le$DET:ART @card@$NUM mai$NOM @card@$NUM à$PRP Pittsburgh,$NOM Pennsylvanie,$NOM décéder$VER:pper le$DET:ART @card@$NUM avril$NOM @card@$NUM à$PRP Hollywood.$NAM
FR#WIKIDATA#Q268244	acteur|actrice$NOM britannique$ADJ
FR#WIKIDATA#Q1445717	commune$NOM espagnol$ADJ
FR#WIKIDATA#Q1359659	automobile$NOM
FR#WIKIDATA#Q1156299	commune$NOM français$ADJ
FR#WIKIDATA#Q1382910	joueur$NOM de$PRP football$NOM camerounais$ADJ
FR#WIKI#Arrondissement_de_Poméranie-Occidentale-du-Nord	L’arrondissement$NOM de$PRP Poméranie-Occidentale-du-Nord$NAM être$VER:pres un$DET:ART ancien$ADJ arrondissement$NOM de$PRP Mecklembourg-Poméranie-Occidentale$NAM qui$PRO:REL se$PRO:PER trouver$VER:pres depuis$PRP le$DET:ART réforme$NOM du$PRP:det @card@$NUM septembre$NOM @card@$NUM dans$PRP l'arrondissement$NOM de$PRP Poméranie-Occidentale-Rügen.$NAM
FR#WIKIDATA#Q1063875	genre$NOM de$PRP mammifère$NOM
FR#WIKI#Système_hydraulique	un$DET:ART système$NOM hydraulique,$ADJ en$PRP hydromécanique,$NOM être$VER:pres un$DET:ART assemblage$NOM de$PRP composant$NOM fonctionner$VER:ppre de$PRP manière$NOM unitaire$ADJ et$KON souvent$ADV en$PRP interaction$NOM afin$KON d'utiliser$VER:infi un$DET:ART fluide$NOM sous$PRP pression$NOM pour$PRP effectuer$VER:infi un$DET:ART travail$NOM mécanique.$ADJ
FR#WIKI#Jumpin',_Jumpin'	Jumpin',$ABR Jumpin'$NAM être$VER:pres un$DET:ART chanson$NOM à$PRP succès$NOM R'n'B$NAM de$PRP @card@$NUM du$PRP:det groupe$NOM féminin$ADJ américain$ADJ Destiny's$NAM Child.$ABR
FR#WIKIDATA#Q639915	commune$NOM du$PRP:det Mecklembourg$NAM (Allemagne)$NOM
FR#WIKIDATA#Q1751207	commune$NOM brésilien$ADJ
FR#WIKI#Tchouvanes	le$DET:ART peuple$NOM Tchouvanes$NAM être$VER:pres un$NOM du$PRP:det quarante$NUM peuple$NOM du$PRP:det Nord$NOM reconnaître$VER:pper par$PRP le$DET:ART gouvernement$NOM Russe.$NAM
FR#WIKIDATA#Q169337	molécule$NOM
